LAT_LONG,DAU_CODE
33.9075_-118.421667,89
33.909444_-118.401667,89
33.910208_-117.60581,98
33.911663_-117.635688,98
33.913056_-117.479722,98
33.914239_-117.624789,98
33.917758_-117.620916,98
33.917778_-118.036944,89
33.917922_-116.484575,348
33.920278_-118.037778,89
33.920507_-117.620489,98
33.920556_-118.423889,89
33.921944_-118.425556,89
33.922018_-117.570699,98
33.923265_-117.615284,98
33.923333_-118.200556,89
33.923333_-118.425556,89
33.923611_-118.425833,89
33.92434_-118.112792,89
33.924722_-117.58,98
33.925796_-117.523713,98
33.925833_-117.659722,100
33.926111_-118.426389,89
33.926111_-118.426667,89
33.926126_-117.52701,98
33.926371_-117.52768,98
33.926581_-117.56942,98
33.927778_-118.426944,89
33.927778_-118.427222,89
33.929722_-118.426944,89
33.929763_-117.577017,98
33.93_-118.4275,89
33.930068_-117.581805,98
33.934444_-117.6725,100
33.934481_-118.019994,89
33.935_-117.655833,100
33.936667_-118.039444,89
33.937778_-117.633056,100
33.93977_-117.561815,98
33.940833_-118.425,89
33.941986_-117.551957,98
33.942222_-118.339722,89
33.943056_-118.426944,89
33.943333_-116.493889,348
33.943333_-118.423056,89
33.944167_-118.1925,89
33.945278_-118.424167,89
33.946111_-117.991667,89
33.947486_-117.566595,98
33.947899_-117.570495,98
33.948889_-118.336944,89
33.950074_-117.589937,98
33.951111_-118.088611,89
33.951944_-118.445556,89
33.953262_-118.148019,89
33.953688_-117.032494,98
33.954483_-117.341575,98
33.956694_-118.36145,89
33.956944_-117.681667,100
33.958056_-117.679167,100
33.958174_-117.956921,89
33.958333_-118.0225,89
33.960833_-117.47,98
33.961712_-117.489274,98
33.962222_-118.335278,89
33.962959_-117.496389,98
33.963637_-117.42711,98
33.963995_-117.488073,98
33.964347_-117.49631,98
33.965_-117.419444,98
33.965278_-118.436667,89
33.966736_-117.430602,98
33.966944_-118.335278,89
33.967544_-118.434406,89
33.967964_-117.523137,98
33.968333_-117.615556,100
33.968831_-116.501683,348
33.969722_-118.335833,89
33.970556_-118.170556,89
33.970556_-118.35,89
33.972325_-118.422083,89
33.974444_-118.354722,89
33.974722_-118.346667,89
33.974755_-117.576456,98
33.975556_-118.340278,89
33.976041_-117.425603,98
33.976111_-118.341389,89
33.976321_-117.421639,98
33.976344_-117.425464,98
33.976667_-117.892222,92
33.977222_-118.066389,89
33.9775_-118.3575,89
33.977575_-118.412836,89
33.977778_-117.895,92
33.978333_-118.34,89
33.978466_-118.337512,89
33.979722_-118.310833,89
33.98_-117.863333,92
33.98_-117.927778,92
33.980276_-117.417262,98
33.981111_-117.421389,98
33.981667_-118.083056,89
33.98198_-117.417272,98
33.9825_-117.575556,98
33.982506_-116.531908,348
33.983611_-118.321667,89
33.9841_-118.4036,89
33.984101_-118.403599,89
33.984167_-118.403056,89
33.984444_-118.1125,89
33.984722_-118.08,89
33.985721_-117.956488,92
33.985833_-117.893611,92
33.988611_-118.090833,89
33.990278_-117.866111,92
33.991111_-118.361389,89
33.997222_-117.630556,100
33.998333_-118.072778,89
34.001944_-118.095833,89
34.002222_-118.378056,89
34.004272_-117.539441,98
34.004722_-118.098611,89
34.005_-117.8125,92
34.005972_-118.368583,89
34.006583_-118.37125,89
34.007222_-118.4575,89
34.0075_-118.099444,89
34.011306_-118.385639,89
34.011667_-118.369167,89
34.012222_-117.583056,100
34.012222_-118.219167,89
34.012222_-118.371944,89
34.014532_-118.067876,89
34.015411_-118.819242,87
34.015935_-117.328658,98
34.016431_-118.817553,87
34.0175_-117.628056,100
34.017778_-117.581667,100
34.018611_-117.593056,100
34.018611_-117.641111,100
34.018889_-117.575278,100
34.018889_-117.584444,100
34.019167_-117.610833,100
34.02_-117.6275,100
34.02_-117.630556,100
34.020278_-117.566944,100
34.020278_-118.095833,89
34.021389_-117.607222,100
34.025556_-118.058889,92
34.026944_-118.071667,92
34.027061_-118.221103,89
34.028056_-118.058611,92
34.028333_-118.072778,92
34.028333_-118.082222,92
34.029722_-118.056389,92
34.030278_-118.041667,92
34.030278_-118.070833,92
34.030833_-118.049444,92
34.031311_-117.817017,92
34.031944_-117.8175,92
34.032106_-118.055746,92
34.033056_-118.042778,92
34.03386_-117.328923,100
34.034444_-118.045278,92
34.034444_-118.681667,87
34.041944_-118.300278,89
34.04446_-118.227939,89
34.045556_-118.053056,92
34.048056_-117.606667,100
34.048333_-117.674444,100
34.048762_-117.048962,100
34.048974_-117.335712,100
34.05_-117.816667,92
34.051389_-118.108333,89
34.056667_-118.511389,89
34.057083_-118.394056,89
34.058889_-118.2525,89
34.058889_-118.879722,87
34.059444_-118.250556,89
34.064722_-118.356389,89
34.070556_-117.673056,100
34.071928_-117.279592,100
34.077222_-117.589722,100
34.0775_-117.704722,100
34.086389_-118.230833,90
34.088333_-118.880556,87
34.088611_-118.0675,92
34.090076_-117.212384,100
34.093056_-118.234167,90
34.093056_-118.235833,90
34.094722_-118.239444,90
34.095833_-118.586944,87
34.10144_-117.444593,100
34.1075_-118.248056,90
34.1075_-118.255556,90
34.109133_-118.853903,87
34.111944_-117.621944,100
34.113056_-118.255278,90
34.116667_-117.7125,92
34.116667_-118.111389,92
34.118056_-118.2675,90
34.12_-118.120278,92
34.120556_-118.123333,92
34.120833_-118.105278,92
34.122778_-118.407778,89
34.123333_-117.515,100
34.1275_-118.114167,92
34.129044_-118.213978,90
34.129483_-117.355543,100
34.130278_-118.110278,92
34.131667_-118.277222,90
34.133611_-117.598056,100
34.135_-117.369444,100
34.136111_-118.283611,90
34.136944_-118.288889,90
34.137222_-118.284444,90
34.1375_-118.275556,90
34.139722_-118.288333,90
34.14_-118.205833,90
34.140278_-118.188889,90
34.141389_-118.286944,90
34.141389_-118.288889,90
34.142778_-118.365556,90
34.142778_-118.653889,90
34.144444_-119.183611,81
34.145278_-118.290278,90
34.145469_-117.93492,92
34.145556_-118.198333,90
34.146389_-118.288056,90
34.146944_-118.2925,90
34.147222_-118.280556,90
34.147222_-118.288889,90
34.1475_-118.293889,90
34.147778_-118.805,87
34.148333_-118.294444,90
34.148611_-118.291944,90
34.149444_-118.290833,90
34.150278_-117.663889,100
34.150556_-118.287778,90
34.151389_-118.3975,90
34.152353_-117.639067,100
34.152778_-118.202778,90
34.155_-118.4375,90
34.157222_-118.465278,90
34.158333_-118.3,90
34.163333_-118.633889,90
34.165278_-118.516111,90
34.165556_-118.493889,90
34.169167_-118.471667,90
34.17_-118.308611,90
34.170833_-118.469444,90
34.171111_-118.202222,90
34.171111_-118.469722,90
34.171111_-118.4975,90
34.171389_-118.469722,90
34.171389_-118.480278,90
34.171667_-118.330833,90
34.1725_-117.273611,100
34.172778_-118.489167,90
34.173333_-118.484722,90
34.173889_-118.4725,90
34.174167_-118.4975,90
34.175278_-118.473611,90
34.175278_-118.479722,90
34.176111_-118.493056,90
34.176389_-118.488333,90
34.176944_-118.23,90
34.1775_-118.481111,90
34.178056_-118.484167,90
34.178611_-118.498611,90
34.178889_-118.4825,90
34.179722_-118.484444,90
34.18_-118.483611,90
34.181389_-118.480556,90
34.181667_-118.617222,90
34.182222_-118.543333,90
34.182778_-118.485278,90
34.183056_-118.477222,90
34.183333_-118.489722,90
34.184444_-118.476944,90
34.184722_-118.480556,90
34.184722_-118.524444,90
34.185068_-118.195628,92
34.185556_-118.4925,90
34.188333_-118.355278,90
34.189444_-118.469444,90
34.19_-118.494444,90
34.190833_-118.514444,90
34.193056_-118.568056,90
34.196111_-118.176389,92
34.198611_-118.201389,92
34.198889_-118.489722,90
34.201389_-118.540556,90
34.205022_-117.404311,100
34.214444_-118.206667,92
34.214444_-118.458611,90
34.217222_-118.218611,90
34.217222_-118.468611,90
34.218056_-118.458611,90
34.221111_-118.459444,90
34.222778_-118.459444,90
34.224167_-118.444722,90
34.224167_-118.459722,90
34.233333_-118.618889,90
34.236944_-118.6325,90
34.237222_-118.628889,90
34.2375_-118.627222,90
34.238056_-118.626667,90
34.238333_-118.625,90
34.238889_-118.628611,90
34.239167_-118.623611,90
34.239167_-118.627222,90
34.239722_-118.625,90
34.243611_-118.620556,90
34.248889_-118.611944,90
34.249722_-118.376111,90
34.253611_-118.390278,90
34.254722_-118.3775,90
34.258056_-118.49,90
34.258056_-118.529444,90
34.258611_-118.395,90
34.260556_-118.601944,90
34.261389_-118.559444,90
34.261667_-118.445278,90
34.264444_-118.316667,90
34.264722_-118.386944,90
34.265278_-118.356389,90
34.265556_-118.316667,90
34.265833_-118.488611,90
34.266389_-118.393056,90
34.266944_-118.388333,90
34.2675_-118.3225,90
34.267778_-118.3875,90
34.268333_-118.388056,90
34.268611_-118.319722,90
34.268889_-118.341944,90
34.268889_-118.395,90
34.269167_-118.854722,81
34.269167_-118.876944,81
34.269444_-118.341667,90
34.269722_-118.386667,90
34.270278_-118.318056,90
34.270556_-118.384722,90
34.271389_-118.389444,90
34.271944_-118.369167,90
34.272778_-118.369167,90
34.276667_-118.895833,81
34.285556_-118.401389,90
34.286111_-118.475,90
34.286944_-118.478056,90
34.2875_-118.859444,81
34.291111_-118.841944,81
34.301389_-118.488333,90
34.305556_-118.495,90
34.306389_-118.489722,90
34.306389_-118.494444,90
34.306667_-118.491944,90
34.307222_-118.4925,90
34.318889_-118.486944,90
34.359436_-118.541812,83
34.37979_-118.55187,83
34.381944_-118.566111,83
34.382778_-118.551389,83
34.38886_-118.40437,83
34.393906_-118.59227,83
34.39556_-118.44531,83
34.4_-118.475,83
34.419167_-118.439444,83
34.423611_-118.495,83
34.42407_-118.49026,83
34.427222_-118.476944,83
34.4275_-118.542222,83
34.430556_-118.589722,83
34.431111_-118.621944,83
34.431389_-118.521111,83
34.439139_-118.53545,83
34.444629_-118.392073,83
34.453416_-118.618261,83
34.48908_-118.615911,83
34.510869_-118.636592,83
34.513333_-117.272222,309
34.829807_-114.59376,340
35.03156_-118.915194,258
35.060202_-119.00422,261
35.135923_-118.941293,258
35.13772_-119.0747,254
35.15208_-119.200111,261
35.158333_-118.811944,258
35.158333_-118.814722,258
35.158889_-118.811944,258
35.166389_-118.824722,258
35.186651_-118.968152,254
35.186909_-118.957708,254
35.19981_-118.83688,258
35.23695_-119.0429,254
35.24_-119.040278,254
35.245207_-119.235606,254
35.252222_-119.235556,254
35.275833_-119.098611,254
35.28105_-119.042364,254
35.282657_-118.932452,254
35.289889_-118.978889,254
35.29902_-119.07928,254
35.303889_-119.109722,254
35.304167_-118.983611,254
35.305833_-119.243056,254
35.31284_-119.02566,254
35.320355_-119.128535,254
35.321667_-119.201111,254
35.321944_-119.197778,254
35.322222_-119.201111,254
35.323056_-119.209167,254
35.323333_-119.201111,254
35.32605_-119.10346,254
35.330278_-119.287778,254
35.33073_-119.05242,254
35.332502_-119.181457,254
35.3328_-119.10343,254
35.33569_-119.0248,254
35.33923_-119.07122,254
35.33936_-119.07127,254
35.342063_-119.125206,254
35.342417_-118.940198,254
35.342778_-119.190278,254
35.34554_-119.10014,254
35.346_-118.871944,258
35.34605_-119.09826,254
35.3461_-119.1722,254
35.346111_-119.172222,254
35.346389_-119.162222,254
35.346389_-119.164167,254
35.346389_-119.165556,254
35.3464_-119.1642,254
35.34808_-119.9608,69
35.34941_-119.09605,254
35.350684_-119.162446,254
35.351867_-119.148875,254
35.36449_-119.08601,254
35.36546_-119.12593,254
35.36618_-119.08727,254
35.366667_-119.071667,254
35.366667_-119.072778,254
35.366944_-119.070278,254
35.368256_-119.125263,254
35.370243_-119.189268,254
35.370458_-119.142281,254
35.3772_-119.0088,254
35.377778_-118.959722,254
35.390161_-119.157264,254
35.39051_-118.95578,254
35.39123_-118.95644,254
35.391872_-119.114956,254
35.3927_-119.11644,254
35.402_-119.033722,254
35.40216_-119.14577,256
35.402222_-119.145833,256
35.402257_-119.025445,254
35.402487_-119.145667,256
35.403333_-119.042222,254
35.403333_-119.395278,255
35.40387_-119.14684,256
35.40461_-119.003397,254
35.40483_-119.320611,254
35.40585_-119.10194,254
35.406436_-118.839551,257
35.407222_-119.013056,254
35.4075_-119.012222,254
35.40777_-119.07963,254
35.407778_-119.011944,254
35.40854_-119.00985,254
35.40951_-118.97459,254
35.409833_-119.126583,254
35.41002_-118.97594,254
35.41147_-118.99173,254
35.41169_-119.00769,254
35.41176_-118.98531,254
35.41267_-119.00294,254
35.41327_-118.996,254
35.41375_-119.500306,255
35.413889_-118.982778,254
35.414722_-118.978889,254
35.416944_-119.046389,254
35.420631_-118.975706,254
35.420921_-119.035413,254
35.42214_-118.81997,257
35.42326_-118.82141,257
35.425113_-119.087232,254
35.425436_-118.838773,257
35.426111_-118.988333,254
35.4279_-119.4061,255
35.42794_-119.40613,255
35.428015_-119.11481,256
35.4325_-118.887222,257
35.433333_-118.885833,257
35.433333_-118.886667,257
35.436389_-119.406111,255
35.4364_-119.4061,255
35.437778_-118.853056,257
35.437778_-119.405833,255
35.438056_-118.853333,257
35.438611_-118.853333,257
35.441667_-119.407778,255
35.445183_-118.937033,257
35.44889_-118.93307,257
35.44942_-118.93312,257
35.470548_-119.08558,256
35.492945_-119.271955,256
35.49447_-119.16957,256
35.50144_-119.478056,255
